,Movie_name,Year
85,Joseph Pulitzer Voice of the People,2019
86,Mapplethorpe,2019
87,Saint Judy,2019
88,Sharkwater Extinction,2019
89,The Boy Who Harnessed the Wind,2019
90,The Sower,2019
91,The Wedding Guest,2019
92,Transit,2019
93,Woman at War,2019
94,Triple Frontier,2019
95,Black Mother,2019
96,Captain Marvel,2019
97,Ferrante Fever,2019
98,Gloria Bell,2019
99,Loving Vincent The Impossible Dream,2019
100,The Kid,2019
101,The Sex Trip,2019
102,Ash Is Purest White,2019
103,Captive State,2019
104,Chimera Strain,2019
105,"Faith, Hope and Love",2019
106,Five Feet Apart,2019
107,Iceman,2019
108,Knife+Heart,2019
109,Nancy Drew and the Hidden Staircase,2019
110,No Manches Frida 2,2019
111,Superpower Dogs,2019
112,The Aftermath,2019
113,The Hummingbird Project,2019
114,The Mustang,2019
115,Wonder Park,2019
116,Yardie,2019
117,Cruel Intentions 20th Anniversary Re-release,2019
118,Hotel Mumbai,2019
119,Maze,2019
120,Out of Blue,2019
121,Ramen Shop,2019
122,Sunset,2019
123,The Highwaymen,2019
124,Triple Threat,2019
125,Us,2019
126,Working Woman,2019
127,Diane,2019
128,Dumbo (2019),2019
129,Hail Satan?,2019
130,Slut In a Good Way,2019
131,The Beach Bum,2019
132,The Chaperone,2019
133,Unplanned,2019
134,Christ Stopped at Eboli,2019
135,Amazing Grace,2019
136,Billboard,2019
137,High Life,2019
138,Pet Sematary (2019),2019
139,Peterloo,2019
140,Shazam,2019
141,Storm Boy,2019
142,The Best of Enemies,2019
143,Sauvage,2019
144,After,2019
145,Diamantino,2019
146,Dogman,2019
147,Girls of the Sun,2019
148,Hellboy (2019),2019
149,Her Smell,2019
150,Little,2019
151,Long Day's Journey Into Night,2019
152,Mary Magdalene,2019
153,Master Z: Ip Man Legacy,2019
154,Mia and the White Lion,2019
155,Missing Link,2019
156,Stockholm,2019
157,Teen Spirit,2019
158,Wild Nights With Emily,2019
159,Breakthrough,2019
160,Penguins,2019
161,Breaking Habits,2019
162,Fast Color,2019
163,Little Woods,2019
164,Naples in Veils,2019
165,Rafiki,2019
166,Red Joan,2019
167,Stuck,2019
168,The Curse of La Llorona,2019
169,The Man Who Killed Don Quixote,2019
170,Under The Silver Lake,2019
171,Avengers Endgame,2019
172,Hesburgh,2019
173,I Trapped The Devil,2019
174,If The Dancer Dances,2019
175,The White Crow,2019
176,Ask Dr. Ruth,2019
177,Bolden,2019
178,El Chicano,2019
179,Long Shot,2019
180,Non-Fiction,2019
181,Quartet,2019
182,The Intruder,2019
183,UglyDolls,2019
184,All Is True,2019
185,Charlie Says,2019
186,Detective Pikachu,2019
187,My Son,2019
188,Poms,2019
189,The Biggest Little Farm,2019
190,The Hustle,2019
191,The Serengeti Rules,2019
192,Tolkien,2019
193,A Shaun the Sheep Movie Farmageddon,2019
194,The Third Wife,2019
195,A Dog's Journey,2019
196,Aniara,2019
197,John Wick Chapter 3 - Parabellum,2019
198,Photograph,2019
199,The Souvenir,2019
200,The Sun Is Also A Star,2019
201,Trial By Fire,2019
202,The Tomorrow Man,2019
203,Aladdin (2019),2019
204,Booksmart,2019
205,Brightburn,2019
206,The Spy Behind Home Plate,2019
207,Godzilla King of the Monsters,2019
208,Ma,2019
209,Rocketman,2019
210,The Fall of the American Empire,2019
211,Dark Phoenix,2019
212,Late Night,2019
213,Pavarotti,2019
214,The Last Black Man in San Francisco,2019
215,The Secret Life of Pets 2,2019
216,This One's for the Ladies,2019
217,The Reports On Sarah And Saleem,2019
218,5B,2019
219,American Woman,2019
220,Being Frank,2019
221,In The Aisles,2019
222,Men in Black International,2019
223,Shaft (2019),2019
224,The Dead Don't Die,2019
225,Anna,2019
226,Before Stonewall,2019
227,Child's Play (2019),2019
228,The Quiet One,2019
229,Toni Morrison: The Pieces I Am,2019
230,Toy Story 4,2019
231,Wild Rose,2019
232,Annabelle Comes Home,2019
233,The Chambermaid,2019
234,Avengers Endgame Rerelease,2019
235,Maiden,2019
236,Ophelia,2019
237,The Other Side of Heaven 2 Fire of Faith,2019
238,The Other Story,2019
239,The Queen,2019
240,Three Peaks,2019
241,Yesterday,2019
242,Midsommar,2019
243,Spider-Man Far From Home,2019
244,Marianne & Leonard: Words of Love,2019
245,The Cat Rescuers,2019
246,The Return of Martin Guerre,2019
247,A Faithful Man,2019
248,Crawl,2019
249,Sea of Shadows,2019
250,Stuber,2019
251,Summer Night,2019
252,Sword of Trust,2019
253,The Art of Self Defense,2019
254,The Farewell,2019
255,Unstoppable,2019
256,At War,2019
257,"Cassandro, the Exotico!",2019
258,David Crosby Remember My Name,2019
259,Luz,2019
260,Streetwise (1984),2019
261,The Lion King (2019),2019
262,Tiny: The Life of Erin Blackwell,2019
263,The Fighting Preacher,2019
264,Angels Are Made of Light,2019
265,For Sama,2019
266,Honeyland,2019
267,Mike Wallace Is Here,2019
268,Once Upon A Time In Hollywood,2019
269,The Ground Beneath My Feet,2019
270,The Mountain,2019
271,Jay Myself,2019
272,Hobbs and Shaw,2019
273,Joan The Maid,2019
274,Leo Da Vinci: Mission Mona Lisa,2019
275,"Love, Antosha",2019
276,Luce,2019
277,Piranhas,2019
278,Tel Aviv On Fire,2019
279,The Nightingale,2019
280,Them That Follow,2019
281,After the Wedding,2019
282,Brian Banks,2019
283,Dora and the Lost City of Gold,2019
284,ECCO,2019
285,Ode To Joy,2019
286,One Child Nation,2019
287,Scary Stories to Tell in the Dark,2019
288,The Art of Racing in the Rain,2019
289,The Bravest,2019
290,The Kitchen,2019
291,The Peanut Butter Falcon,2019
292,Angry Birds 2,2019
293,Birds Without Feathers,2019
294,47 Meters Down: Uncaged,2019
295,Aquarela,2019
296,Blinded By The Light,2019
297,Cold Case Hammarskjöld,2019
298,End of the Century,2019
299,Good Boys,2019
300,Line Walker 2,2019
301,The Divine Fury,2019
302,The Second Sun,2019
303,"Where'd You Go, Bernadette",2019
304,Ready Or Not,2019
305,Angel Has Fallen,2019
306,Becoming Burlesque,2019
307,Brittany Runs a Marathon,2019
308,Fiddler A Miracle of Miracles,2019
309,Give Me Liberty,2019
310,Miles Davis: Birth of the Cool,2019
311,Overcomer,2019
312,Vita and Virginia,2019
313,NeZha,2019
314,Before You Know It,2019
315,Bennett's War,2019
316,Don't Let Go,2019
317,Killerman,2019
318,Official Secrets,2019
319,Raise Hell: The Life & Times of Molly Ivins,2019
320,The Matrix 20th Anniversary,2019
321,Todos Caen,2019
322,Aga,2019
323,Blink Of An Eye,2019
324,Edie,2019
325,I'm Leaving Now,2019
326,It Chapter 2,2019
327,Linda Ronstadt: The Sound of My Voice,2019
328,Mr. Klein (2019 Re-Release),2019
329,Ms. Purple,2019
330,Rapid Response,2019
331,"Say Amen, Somebody",2019
332,Chained For Life,2019
333,Another Day Of Life,2019
334,Can You Keep a Secret?,2019
335,Chasing Einstein,2019
336,Cracked Up,2019
337,Depraved,2019
338,Desolation Center,2019
339,Freaks,2019
340,Hustlers,2019
341,Imprisoned,2019
342,Liam Gallagher: As It Was,2019
343,Monos,2019
344,Moonlight Sonata,2019
345,One Cut of the Dead,2019
346,Out Of Liberty,2019
347,The Goldfinch,2019
348,The Harvesters,2019
349,The Sound Of Silence,2019
350,Midnight Traveler,2019
351,Ad Astra,2019
352,Britt-Marie Was Here,2019
353,Corporate Animals,2019
354,Don't Be Nice,2019
355,Downton Abbey,2019
356,Loro,2019
357,Midnight Diner,2019
358,Rambo 5 Last Blood,2019
359,Tazza: One Eyed Jack,2019
360,Villains,2019
361,Where's My Roy Cohn?,2019
362,Zeroville,2019
363,Abominable,2019
364,First Love,2019
365,Judy,2019
366,Serie Noire,2019
367,The Day Shall Come,2019
368,The Death of Dick Long,2019
369,The Golden Glove,2019
370,The Laundromat,2019
371,Celebration,2019
372,Dolemite Is My Name,2019
373,Gregory's Girl (2019 Re-Release),2019
374,Joker,2019
375,Lucy In The Sky,2019
376,Memory: The Origins of Alien,2019
377,Pain and Glory,2019
378,Pretenders,2019
379,The Climbers,2019
380,Wallflower,2019
381,Wrinkles The Clown,2019
382,Mister America,2019
383,A German Youth,2019
384,Fantastic Fungi,2019
385,Gemini Man,2019
386,High Strung Free Dance,2019
387,Je T'Aime Moi Non Plus (2019 ReRelease),2019
388,Jexi,2019
389,Parasite,2019
390,The Addams Family (2019),2019
391,The Cotton Club Encore,2019
392,The King,2019
393,Jay and Silent Bob Reboot,2019
394,Stuffed,2019
395,By The Grace Of God,2019
396,"Cyrano, My Love",2019
397,Immortal Hero,2019
398,JoJo Rabbit,2019
399,Maleficent 2,2019
400,Serendipity,2019
401,The Captain,2019
402,The Lighthouse,2019
403,Zombieland 2,2019
404,Black and Blue,2019
405,Countdown,2019
406,Filibus (1915),2019
407,Frankie,2019
408,Going Attractions: The Definitive Story of the Movie Palace,2019
409,Jesus Is King,2019
410,Making Waves: The Art of Cinematic Sound,2019
411,No Safe Spaces,2019
412,Paradise Hills,2019
413,Synonyms,2019
414,The Cat and the Moon,2019
415,The Current War,2019
416,The Great Alaskan Race,2019
417,The Kill Team,2019
418,Western Stars,2019
419,American Dharma,2019
420,Arctic Dogs,2019
421,Earthquake Bird,2019
422,Gay Chorus Deep South,2019
423,Harriet,2019
424,Inside Game,2019
425,Light From Light,2019
426,Motherless Brooklyn,2019
427,Mrs. Lowry & Son,2019
428,Queen of Hearts,2019
429,Terminator Dark Fate,2019
430,The Etruscan Smile,2019
431,The Irishman,2019
432,The Portal,2019
433,Marriage Story,2019
434,A Fish In The Bathtub (20th Anniversary),2019
435,Crown Vic,2019
436,Doctor Sleep,2019
437,Honey Boy,2019
438,Klaus,2019
439,Last Christmas,2019
440,Midway,2019
441,Mr. Toilet: The World’s #2 Man,2019
442,Playing With Fire,2019
443,The Kingmaker,2019
444,Mickey And The Bear,2019
445,Atlantics,2019
446,Charlie's Angels (2019),2019
447,Everybody's Everything,2019
448,Feast of the Seven Fishes,2019
449,Ford vs Ferrari,2019
450,I Lost My Body,2019
451,Recorder,2019
452,Scandalous,2019
453,The Good Liar,2019
454,The Report,2019
455,The Turkey Bowl,2019
456,The Warrior Queen of Jhansi,2019
457,Waves,2019
458,21 Bridges,2019
459,A Beautiful Day in the Neighborhood,2019
460,Citizen K,2019
461,Dark Waters,2019
462,Frozen 2,2019
463,Hala,2019
464,Shooting The Mafia,2019
465,The Courier,2019
466,When Lambs Become Lions,2019
467,Knives Out,2019
468,Queen and Slim,2019
469,The Traitor,2019
470,The Two Popes,2019
471,Kind Hearts and Coronets,2019
472,Les Miserables (2019),2019
473,A Million Little Pieces,2019
474,Code 8,2019
475,I See You,2019
476,In Fabric,2019
477,Little Joe,2019
478,Playmobil The Movie,2019
479,Portrait of a Lady on Fire,2019
480,The Aeronauts,2019
481,The Disappearance Of My Mother,2019
482,The Islands,2019
483,A Hidden Life,2019
484,Black Christmas,2019
485,Cunningham,2019
486,Jumanji 2: The Next Level,2019
487,Richard Jewell,2019
488,Seberg,2019
489,The Death and Life of John F. Donovan,2019
490,Uncut Gems,2019
491,Bombshell,2019
492,Cats,2019
493,IP Man 4,2019
494,Star Wars: The Rise of Skywalker,2019
495,The Europeans 2019 Re-Release,2019
496,1917,2019
497,Just Mercy,2019
498,Little Women (2019),2019
499,Lyrebird,2019
500,Spies In Disguise,2019
501,The Song of Names,2019
502,Clemency,2019
503,Day of the Dead Bloodline,2018
504,Devil's Gate,2018
505,Django,2018
506,In Between,2018
507,Insidious 4 The Last Key,2018
508,The Strange Ones,2018
509,1987 When the Day Comes,2018
510,A Demon Within,2018
511,Abe and Phil's Last Poker Game,2018
512,Acts of Violence,2018
513,Condorito The Movie,2018
514,Freak Show,2018
515,Humor Me,2018
516,Inside,2018
517,My Art,2018
518,Paddington 2,2018
519,Parchi,2018
520,Proud Mary,2018
521,Saturday Church,2018
522,The Commuter,2018
523,The Lucky Man,2018
524,Vazante,2018
525,Wastelander,2018
526,Beuys,2018
527,Mary and the Witch's Flower,2018
528,12 Strong,2018
529,Dance Baby Dance,2018
530,Delirium,2018
531,Den of Thieves,2018
532,Forever My Girl,2018
533,Kangaroo,2018
534,Mama Africa,2018
535,Mom and Dad,2018
536,Ridge Runners,2018
537,Showdown In Manila,2018
538,Small Town Crime,2018
539,The Final Year,2018
540,The Road Movie,2018
541,This Giant Papier Mache Boulder Is Actually Really Heavy,2018
542,A Ciambra,2018
543,American Folk,2018
544,Desolation,2018
545,Have a Nice Day,2018
546,Kickboxer Retaliation,2018
547,Like Me,2018
548,Maze Runner The Death Cure,2018
549,Padmaavat,2018
550,Please Stand By,2018
551,The Clapper,2018
552,The Insult,2018
553,The Neighbor,2018
554,West of the Jordan River,2018
555,A Fantastic Woman,2018
556,Before We Vanish,2018
557,Bilal A New Breed of Hero,2018
558,Braven,2018
559,Driving While Black,2018
560,Lies We Tell,2018
561,Living Among Us,2018
562,On Body and Soul,2018
563,Scorched Earth,2018
564,The Cage Fighter,2018
565,The Music of Silence,2018
566,Winchester,2018
567,2018 Oscar Nominated Live Action Shorts,2018
568,Aiyaary,2018
569,Basmati Blues,2018
570,Becks,2018
571,Black Hollow Cage,2018
572,Bomb City,2018
573,But Deliver Us From Evil,2018
574,Entanglement,2018
575,Fake Blood,2018
576,Fifty Shades Freed,2018
577,First We Take Brooklyn,2018
578,Golden Exits,2018
579,La Boda de Valentina,2018
580,Monster Family,2018
581,Pad Man,2018
582,Permission,2018
583,Peter Rabbit,2018
584,Still/Born,2018
585,The 15:17 To Paris,2018
586,The Female Brain,2018
587,The Peacemaker,2018
588,Double Lover,2018
589,Black Panther,2018
590,Detective Chinatown 2,2018
591,Detective K Secret of the Living Dead,2018
592,Early Man,2018
593,Honor Up,2018
594,Looking Glass,2018
595,Loveless,2018
596,Nostalgia,2018
597,Poop Talk,2018
598,Samson,2018
599,The Boy Downstairs,2018
600,The Housemaid,2018
601,The Monkey King 3,2018
602,The Party,2018
603,The Scent of Rain and Lightning,2018
604,Western,2018
605,7 Guardians of the Tomb,2018
606,Agenda Payback,2018
607,Annihilation,2018
608,Are We Not Cats,2018
609,Beast of Burden,2018
610,Curvature,2018
611,Death House,2018
612,Every Day,2018
613,Game Night,2018
614,Half Magic,2018
615,Hannah,2018
616,Operation Red Sea,2018
617,Survivors Guide to Prison,2018
618,The Cured,2018
619,The Lodgers,2018
620,The Young Karl Marx,2018
621,Did You Wonder Who Fired the Gun,2018
622,Dance Academy The Movie,2018
623,Death Wish (2018),2018
624,Don't Talk to Irene,2018
625,Eat Me,2018
626,Foxtrot,2018
627,Hondros,2018
628,Midnighters,2018
629,Mohawk,2018
630,Oh Lucy,2018
631,Red Sparrow,2018
632,Souvenir,2018
633,Submission,2018
634,The Vanishing of Sidney Hall,2018
635,They Remain,2018
636,1:54,2018
637,A Wrinkle In Time,2018
638,Bent,2018
639,Claire's Camera,2018
640,Girls vs Gangsters,2018
641,Goldstone,2018
642,Gringo,2018
643,Itzhak,2018
644,Juggernaut,2018
645,King of Hearts,2018
646,Leaning Into The Wind,2018
647,Los Angeles Overnight,2018
648,Our Blood is Wine,2018
649,The Death of Stalin,2018
650,The Feels,2018
651,The Forgiven,2018
652,The Happys,2018
653,The Hurricane Heist,2018
654,The Leisure Seeker,2018
655,The Strangers Prey at Night,2018
656,Thoroughbreds,2018
657,"Where Have You Gone, Lou Dimaggio?",2018
658,12 Days,2018
659,7 Days in Entebbe,2018
660,Allure,2018
661,Augie,2018
662,Dear Dictator,2018
663,Flower,2018
664,Furlough,2018
665,I Can Only Imagine,2018
666,In The Land of Pomegranates,2018
667,Josie,2018
668,Journey's End,2018
669,Keep The Change,2018
670,"Love, Simon",2018
671,No Light and No Land Anywhere,2018
672,Ramen Heads,2018
673,Tomb Raider (2018),2018
674,A Bag Of Marbles,2018
675,Back to Burgundy,2018
676,Beauty and the Dogs,2018
677,Elis,2018
678,Final Portrait,2018
679,Followers,2018
680,Getting Grace,2018
681,Hichki,2018
682,I Kill Giants,2018
683,Isle of Dogs,2018
684,Ismael's Ghosts,2018
685,Madame,2018
686,Midnight Sun,2018
687,Pacific Rim Uprising,2018
688,Paul Apostle of Christ,2018
689,Pyewacket,2018
690,Sherlock Gnomes,2018
691,Shifting Gears,2018
692,Status Update,2018
693,Summer In The Forest,2018
694,The Workshop,2018
695,Unsane,2018
696,Ready Player One,2018
697,Acrimony,2018
698,After Louie,2018
699,All I Wish,2018
700,Best F(r)iends Volume One,2018
701,Birthmarked,2018
702,Caught,2018
703,Finding Your Feet,2018
704,Fourplay,2018
705,Gemini,2018
706,God's Not Dead A Light in Darkness,2018
707,Love After Love,2018
708,Outside In,2018
709,Personal Problems,2018
710,The China Hustle,2018
711,The Gardener,2018
712,The Great Silence,2018
713,The Last Movie Star,2018
714,The Son of Bigfoot,2018
715,A Quiet Place,2018
716,Big Fish and Begonia,2018
717,Blockers,2018
718,Chappaquiddick,2018
719,Lean on Pete,2018
720,Lowlife,2018
721,Pandas,2018
722,Rogers Park,2018
723,Seven Years of Night,2018
724,Shelter,2018
725,Spinning Man,2018
726,Sweet Country,2018
727,The Endless,2018
728,The Heart of Nuba,2018
729,The Humanity Bureau,2018
730,The Miracle Season,2018
731,Trek The Movie,2018
732,Where Is Kyra?,2018
733,You Were Never Really Here,2018
734,Beirut,2018
735,Hitler's Hollywood,2018
736,10x10,2018
737,20 Weeks,2018
738,Aardvark,2018
739,All I Want,2018
740,An Ordinary Man,2018
741,Baja,2018
742,Borg vs McEnroe,2018
743,Bus Party to Hell,2018
744,Bye Bye Germany,2018
745,Color Me You,2018
746,Flock of Four,2018
747,Gonjiam Haunted Asylum,2018
748,Grace Jones Bloodlight and Bami,2018
749,Krystal,2018
750,Marrowbone,2018
751,Nana,2018
752,Rampage,2018
753,Sgt Stubby An American Hero,2018
754,Sign Gene,2018
755,Submergence,2018
756,The Judge,2018
757,The Rider,2018
758,Truth or Dare,2018
759,Wildling,2018
760,Zama,2018
761,This Is Our Land,2018
762,After Auschwitz,2018
763,Beyond the Clouds,2018
764,Corbin Nash,2018
765,Edge of Isolation,2018
766,Genesis,2018
767,Ghost Stories,2018
768,Godard Mon Amour,2018
769,Gray Matter,2018
770,I Feel Pretty,2018
771,Imitation Girl,2018
772,Let's Kill Grandpa,2018
773,Little Pink House,2018
774,"Lou Andreas-Salome, The Audacity To Be Free",2018
775,Love and Bananas,2018
776,Super Troopers 2,2018
777,The Devil and Father Amorth,2018
778,Traffik,2018
779,Wanderland,2018
780,Zoo Wars,2018
781,Adventures in Public School,2018
782,Animal Crackers,2018
783,AVA,2018
784,Avengers Infinity War,2018
785,Backstabbing For Beginners,2018
786,Cold Water,2018
787,Disobedience,2018
788,Duck Butter,2018
789,In the Last Days of the City,2018
790,Kings,2018
791,Let The Sunshine In,2018
792,Maya The Bee 2,2018
793,Modern Life Is Rubbish,2018
794,Mrs. Hyde,2018
795,Restoring Tomorrow,2018
796,Supercon,2018
797,The Escape of Prisoner 614,2018
798,The House of Tomorrow,2018
799,102 Not Out,2018
800,Alex and The List,2018
801,Altered Perception,2018
802,Andover,2018
803,Bad Samaritan,2018
804,Jeannette The Childhood of Joan of Arc,2018
805,Overboard (2018),2018
806,Racer and the Jailbird,2018
807,Ray Meets Helen,2018
808,RBG,2018
809,Strangers on the Earth,2018
810,The 12th Man,2018
811,The Cleanse,2018
812,The Con Is On,2018
813,The Desert Bride,2018
814,The Guardians,2018
815,Tully,2018
816,Always at The Carlyle,2018
817,Another Kind of Wedding,2018
818,Anything,2018
819,Beast,2018
820,Boom For Real,2018
821,Born Guilty,2018
822,Breaking In,2018
823,Champion,2018
824,Class Rank,2018
825,Film Worker,2018
826,Goodland,2018
827,Higher Power,2018
828,Life of the Party,2018
829,Lu Over The Wall,2018
830,Measure of a Man,2018
831,Mountain,2018
832,Nothing to Lose,2018
833,Revenge,2018
834,Terminal,2018
835,The Assassin's Code,2018
836,The Day After,2018
837,The Escape,2018
838,The Honor List,2018
839,The Last Horsemen of New York,2018
840,The Seagull,2018
841,Troy The Resurrection of Aeneas,2018
842,2001 A Space Odyssey 50th Anniversary Re-Release,2018
843,Book Club,2018
844,Carter and June,2018
845,Dark Crimes,2018
846,Deadpool 2,2018
847,First Reformed,2018
848,Hurricane Bianca From Russia with Hate,2018
849,Middleground,2018
850,On Chesil Beach,2018
851,Pope Francis A Man of His Word,2018
852,Saving Brinton,2018
853,Show Dogs,2018
854,Sollers Point,2018
855,That Summer,2018
856,The Hollow Child,2018
857,The Most Unknown,2018
858,Feral,2018
859,Fury of the Fist and The Golden Fleece,2018
860,Future World,2018
861,How Long Will I Love U,2018
862,How to Talk to Girls at Parties,2018
863,In Darkness,2018
864,Les Parents Terribles,2018
865,Mary Shelley,2018
866,Solo A Star Wars Story,2018
867,Summer 1993,2018
868,The Gospel According To Andre,2018
869,The Misandrists,2018
870,Who We Are Now,2018
871,Ganja and Hess,2018
872,5th Passenger,2018
873,Action Point,2018
874,Adrift,2018
875,All Summers End,2018
876,American Animals,2018
877,Best F(r)iends Volume Two,2018
878,Breath,2018
879,Hooked,2018
880,How Jack Became Black,2018
881,Rodin,2018
882,Social Animals,2018
883,The Doctor From India,2018
884,The Texture of Falling,2018
885,Upgrade,2018
886,2036 Origin Unknown,2018
887,211,2018
888,A Kid Like Jake,2018
889,A.I. Tales,2018
890,Believer,2018
891,Bernard and Huey,2018
892,En el Séptimo Día,2018
893,Haikara San Here Comes Miss Modern,2018
894,Half The Picture,2018
895,Hearts Beat Loud,2018
896,Hereditary,2018
897,Hotel Artemis,2018
898,Nancy,2018
899,Ocean's 8,2018
900,The Quest of Alain Ducasse,2018
901,The Valley,2018
902,The Workers Cup,2018
903,Won't You Be My Neighbor,2018
904,Zoo,2018
905,Five Seasons,2018
906,One Last Thing,2018
907,A Skin So Soft,2018
908,Affairs of State,2018
909,Billy Boy,2018
910,China Salesman,2018
911,Counterfeiters,2018
912,Eating Animals,2018
913,Gabriel and the Mountain,2018
914,Gotti,2018
915,Incredibles 2,2018
916,Set It Up,2018
917,Straight Into a Storm,2018
918,SuperFly,2018
919,Tag,2018
920,The Year of Spectacular Men,2018
921,The Yellow Birds,2018
922,"Westwood Punk, Icon, Activist",2018
923,Damascus Cover,2018
924,Spiral,2018
925,Araby,2018
926,Beach House,2018
927,Boundaries,2018
928,Damsel,2018
929,Distorted,2018
930,Izzy Gets the F*ck Across Town,2018
931,Jurassic World Fallen Kingdom,2018
932,Marlina the Murderer in Four Acts,2018
933,"Never Steady, Never Still",2018
934,Ronnie Coleman The King,2018
935,The Accidental Detective 2 In Action,2018
936,The Catcher Was A Spy,2018
937,The King,2018
938,Rock Rubber 45s,2018
939,Black Water,2018
940,Calling All Earthlings,2018
941,Custody,2018
942,Dark River,2018
943,Game Changers,2018
944,Hover,2018
945,Ideal Home,2018
946,Leave No Trace,2018
947,Love All You Have Left,2018
948,"Love, Cecil",2018
949,Sanju,2018
950,Sicario Day of the Soldado,2018
951,Summer of 67,2018
952,The Cakemaker,2018
953,The Domestics,2018
954,The Game Changers,2018
955,This is Congo,2018
956,Three Identical Strangers,2018
957,Uncle Drew,2018
958,Winter Brothers,2018
959,Woman Walks Ahead,2018
960,The First Purge,2018
961,Ant Man and The Wasp,2018
962,Bleeding Steel,2018
963,Moss,2018
964,No Postage Necessary,2018
965,Ryuichi Sakamoto Coda,2018
966,Sharp Edges,2018
967,Sorry To Bother You,2018
968,The Citizen,2018
969,Under The Tree,2018
970,Whitney,2018
971,Gauguin Voyage to Tahiti,2018
972,7 Splinters in Time,2018
973,A Midsummer Night's Dream (2018),2018
974,Dark Money,2018
975,"Don't Worry, He Won't Get Far On Foot",2018
976,Eighth Grade,2018
977,Hotel Transylvania 3 Summer Vacation,2018
978,McQueen,2018
979,Milford Graves Full Mantis,2018
980,Path of Blood,2018
981,Poor Boy,2018
982,Puzzle,2018
983,Relaxer,2018
984,Shock and Awe,2018
985,Siberia,2018
986,Skyscraper,2018
987,Soorma,2018
988,The Devil's Doorway,2018
989,The Night Eats the World,2018
990,What Will People Say,2018
991,Blindspotting,2018
992,Broken Star,2018
993,Far From The Tree,2018
994,Generation Wealth,2018
995,Heels,2018
996,Holy Hell,2018
997,King Cohen The Wild World of Filmmaker Larry Cohen,2018
998,Mamma Mia Here We Go Again,2018
999,Maquia When The Promised Flower Blooms,2018
1000,Occupation,2018
1001,Pin Cushion,2018
1002,Teefa in Trouble,2018
1003,The Equalizer 2,2018
1004,The Third Murder,2018
1005,Unfriended Dark Web,2018
1006,93Queen,2018
1007,14 Cameras,2018
1008,Cocote,2018
1009,Dead Night,2018
1010,Good Manners,2018
1011,Hot Summer Nights,2018
1012,Mission Impossible Fallout,2018
1013,Our House,2018
1014,Scarred Hearts,2018
1015,Scotty and the Secret History of Hollywood,2018
1016,Teen Titans Go To the Movies,2018
1017,The Captain,2018
1018,The Row,2018
1019,Along with the Gods The Last 49 Days,2018
1020,Nico 1988,2018
1021,"No Date, No Signature",2018
1022,Running For Grace,2018
1023,The Atomic Cafe,2018
1024,40 Years In The Making The Magic Music Movie,2018
1025,Christopher Robin,2018
1026,Death of a Nation,2018
1027,Devil's Cove,2018
1028,Gavagai,2018
1029,La Familia,2018
1030,Never Goin Back,2018
1031,Night Comes On,2018
1032,The Darkest Minds,2018
1033,The Forest of the Lost Souls,2018
1034,The Miseducation of Cameron Post,2018
1035,The Spy Who Dumped Me,2018
1036,Urban Country,2018
1037,The Spy Gone North,2018
